"Time","Sun Mass","Sun Position X","Sun Position Y","Sun Position Z","Sun Velocity X","Sun Velocity Y","Sun Velocity Z","Sun Acceleration X","Sun Acceleration Y","Sun Acceleration Z","Sun Force X","Sun Force Y","Sun Force Z","Earth Mass","Earth Position X","Earth Position Y","Earth Position Z","Earth Velocity X","Earth Velocity Y","Earth Velocity Z","Earth Acceleration X","Earth Acceleration Y","Earth Acceleration Z","Earth Force X","Earth Force Y","Earth Force Z","Moon Mass","Moon Position X","Moon Position Y","Moon Position Z","Moon Velocity X","Moon Velocity Y","Moon Velocity Z","Moon Acceleration X","Moon Acceleration Y","Moon Acceleration Z","Moon Force X","Moon Force Y","Moon Force Z"
"0","2.707116E+07","0","0","0","0","0","-0.0006465733","3.335079E-05","0","0","902.8444","0","0","81.28001","4056.674","0","0","0","0","212.7834","-11.03887","0","0","-897.2393","0","0","1","4046.674","0","0","0","0","220.3425","-5.605087","0","0","-5.605087","0","0"
"0.0167","2.707116E+07","9.3012E-09","0","-1.079777E-05","5.569581E-07","0","-0.0006465733","3.33508E-05","0","2.922765E-08","902.8448","0","0.7912265","81.28001","4056.671","0","3.553483","-0.1843491","0","212.7834","-11.03888","0","-0.008768987","-897.2403","0","-0.7127433","1","4046.673","0","3.67972","-0.09360494","0","220.3425","-5.604525","0","-0.07848311","-5.604525","0","-0.07848311"
"0.0334","2.707116E+07","2.79036E-08","0","-2.159554E-05","1.113916E-06","0","-0.0006465729","3.335078E-05","0","5.845533E-08","902.8442","0","1.582454","81.28001","4056.665","0","7.106963","-0.3686984","0","212.7832","-11.03887","0","-0.01753784","-897.239","0","-1.425476","1","4046.669","0","7.359417","-0.1872005","0","220.3412","-5.605211","0","-0.1569777","-5.605211","0","-0.1569777"
"0.0501","2.707116E+07","5.580721E-08","0","-3.239329E-05","1.670874E-06","0","-0.0006465719","3.335074E-05","0","8.768304E-08","902.8431","0","2.373682","81.28001","4056.656","0","10.66044","-0.5530475","0","212.783","-11.03883","0","-0.02630661","-897.2365","0","-2.138201","1","4046.665","0","11.03907","-0.2808075","0","220.3386","-5.606623","0","-0.2354801","-5.606623","0","-0.2354801"
"0.0668","2.707116E+07","9.301199E-08","0","-4.319102E-05","2.227832E-06","0","-0.0006465704","3.335067E-05","0","1.169107E-07","902.8413","0","3.164909","81.28001","4056.643","0","14.21391","-0.737396","0","212.7825","-11.03878","0","-0.03507581","-897.2321","0","-2.850962","1","4046.658","0","14.71866","-0.3744381","0","220.3346","-5.609281","0","-0.3139472","-5.609281","0","-0.3139472"
"0.0835","2.707116E+07","1.395179E-07","0","-5.398871E-05","2.784788E-06","0","-0.0006465684","3.335058E-05","0","1.461384E-07","902.8389","0","3.956136","81.28001","4056.628","0","17.76736","-0.9217436","0","212.7819","-11.03871","0","-0.04384524","-897.2262","0","-3.563741","1","4046.651","0","18.39816","-0.4681131","0","220.3294","-5.612662","0","-0.3923945","-5.612662","0","-0.3923945"
"0.1002","2.707116E+07","1.95325E-07","0","-6.478636E-05","3.341743E-06","0","-0.000646566","3.335046E-05","0","1.75366E-07","902.8357","0","4.747361","81.28001","4056.609","0","21.32081","-1.10609","0","212.7812","-11.03862","0","-0.05261492","-897.2189","0","-4.276541","1","4046.641","0","22.07755","-0.5618445","0","220.3228","-5.616761","0","-0.4708202","-5.616761","0","-0.4708202"
"0.1169","2.707116E+07","2.604332E-07","0","-7.558396E-05","3.898695E-06","0","-0.0006465631","3.335031E-05","0","2.045935E-07","902.8317","0","5.538583","81.28001","4056.588","0","24.87424","-1.290435","0","212.7803","-11.0385","0","-0.06138574","-897.2095","0","-4.989433","1","4046.63","0","25.75681","-0.6556444","0","220.315","-5.622103","0","-0.5491502","-5.622103","0","-0.5491502"
"0.1336","2.707116E+07","3.348425E-07","0","-8.638151E-05","4.455645E-06","0","-0.0006465596","3.335013E-05","0","2.338209E-07","902.8268","0","6.329802","81.28001","4056.563","0","28.42765","-1.474778","0","212.7793","-11.03837","0","-0.07015712","-897.1987","0","-5.702371","1","4046.618","0","29.43592","-0.7495335","0","220.3058","-5.628164","0","-0.6274306","-5.628164","0","-0.6274306"
"0.1503","2.707116E+07","4.185528E-07","0","-9.717899E-05","5.012593E-06","0","-0.0006465557","3.334993E-05","0","2.630481E-07","902.8214","0","7.121017","81.28001","4056.536","0","31.98105","-1.659119","0","212.7781","-11.03821","0","-0.0789302","-897.1859","0","-6.415447","1","4046.604","0","33.11485","-0.8435239","0","220.2953","-5.635457","0","-0.7055699","-5.635457","0","-0.7055699"
"0.167","2.707116E+07","5.115641E-07","0","-0.0001079764","5.569536E-06","0","-0.0006465514","3.33497E-05","0","2.922751E-07","902.8151","0","7.912227","81.28001","4056.505","0","35.53442","-1.843457","0","212.7768","-11.03804","0","-0.08770413","-897.1716","0","-7.128592","1","4046.588","0","36.79358","-0.937636","0","220.2835","-5.643461","0","-0.7836341","-5.643461","0","-0.7836341"
"0.1837","2.707116E+07","6.138762E-07","0","-0.0001187737","6.126476E-06","0","-0.0006465465","3.334946E-05","0","3.215021E-07","902.8085","0","8.703434","81.28001","4056.471","0","39.08777","-2.027792","0","212.7753","-11.03784","0","-0.09647967","-897.156","0","-7.841868","1","4046.571","0","40.4721","-1.031882","0","220.2704","-5.652431","0","-0.8615662","-5.652431","0","-0.8615662"
"0.2004","2.707116E+07","7.254891E-07","0","-0.000129571","6.683412E-06","0","-0.0006465411","3.334917E-05","0","3.507287E-07","902.8008","0","9.494634","81.28001","4056.434","0","42.64109","-2.212124","0","212.7737","-11.03763","0","-0.1052569","-897.1384","0","-8.555285","1","4046.552","0","44.15038","-1.126277","0","220.2561","-5.66236","0","-0.9393494","-5.66236","0","-0.9393494"
